,percentage,region,ad_id
0,0.00141,Nunavut,156528763307879
1,0.099201,Alberta,156528763307879
2,0.247297,British Columbia,156528763307879
3,0.048425,Manitoba,156528763307879
4,0.029619,New Brunswick,156528763307879
5,0.011754,Newfoundland and Labrador,156528763307879
6,0.041843,Nova Scotia,156528763307879
7,0.359191,Ontario,156528763307879
8,0.006582,Prince Edward Island,156528763307879
9,0.115656,Quebec,156528763307879
10,0.03385,Saskatchewan,156528763307879
11,0.001881,Northwest Territories,156528763307879
12,0.003291,Yukon,156528763307879
0,0.14262,Alberta,159842342986514
1,0.189104,British Columbia,159842342986514
2,0.059614,Manitoba,159842342986514
3,0.027618,New Brunswick,159842342986514
4,0.024147,Newfoundland and Labrador,159842342986514
5,0.03939,Nova Scotia,159842342986514
6,0.324027,Ontario,159842342986514
7,0.005735,Prince Edward Island,159842342986514
8,0.10821,Quebec,159842342986514
9,0.060821,Saskatchewan,159842342986514
10,0.007093,Northwest Territories,159842342986514
11,0.009055,Nunavut,159842342986514
12,0.002566,Yukon,159842342986514
0,0.132085,Alberta,182910140614352
1,0.182274,British Columbia,182910140614352
2,0.0497,Manitoba,182910140614352
3,0.057412,New Brunswick,182910140614352
4,0.041988,Newfoundland and Labrador,182910140614352
5,0.079692,Nova Scotia,182910140614352
6,0.251561,Ontario,182910140614352
7,0.012486,Prince Edward Island,182910140614352
8,0.123148,Quebec,182910140614352
9,0.053985,Saskatchewan,182910140614352
10,0.003795,Yukon,182910140614352
11,0.005019,Northwest Territories,182910140614352
12,0.006855,Nunavut,182910140614352
0,0.104011,Alberta,217480390439607
1,0.310305,British Columbia,217480390439607
2,0.043754,Manitoba,217480390439607
3,0.020917,New Brunswick,217480390439607
4,0.009211,Newfoundland and Labrador,217480390439607
5,0.045289,Nova Scotia,217480390439607
6,0.34005,Ontario,217480390439607
7,0.004606,Prince Edward Island,217480390439607
8,0.09288,Quebec,217480390439607
9,0.024563,Saskatchewan,217480390439607
10,0.002879,Yukon,217480390439607
11,0.00096,Northwest Territories,217480390439607
12,0.000576,Nunavut,217480390439607
0,0.142618,Alberta,218242260364603
1,0.20473,British Columbia,218242260364603
2,0.043239,Manitoba,218242260364603
3,0.034161,New Brunswick,218242260364603
4,0.027234,Newfoundland and Labrador,218242260364603
5,0.047539,Nova Scotia,218242260364603
6,0.317965,Ontario,218242260364603
7,0.005733,Prince Edward Island,218242260364603
8,0.114668,Quebec,218242260364603
9,0.043717,Saskatchewan,218242260364603
10,0.003822,Yukon,218242260364603
11,0.006928,Northwest Territories,218242260364603
12,0.007645,Nunavut,218242260364603
0,0.119362,Alberta,218551410323672
1,0.242613,British Columbia,218551410323672
2,0.03888,Manitoba,218551410323672
3,0.028771,New Brunswick,218551410323672
4,0.010886,Newfoundland and Labrador,218551410323672
5,0.044712,Nova Scotia,218551410323672
6,0.386858,Ontario,218551410323672
7,0.003888,Prince Edward Island,218551410323672
8,0.085148,Quebec,218551410323672
9,0.031104,Saskatchewan,218551410323672
10,0.003888,Yukon,218551410323672
11,0.002333,Northwest Territories,218551410323672
12,0.001555,Nunavut,218551410323672
0,0.004566,Newfoundland and Labrador,221584829949237
1,0.004566,Yukon,221584829949237
2,0.004566,Northwest Territories,221584829949237
3,0.100457,Alberta,221584829949237
4,0.292237,British Columbia,221584829949237
5,0.214612,Ontario,221584829949237
6,0.114155,Quebec,221584829949237
7,0.068493,Saskatchewan,221584829949237
8,0.109589,Nova Scotia,221584829949237
9,0.059361,Manitoba,221584829949237
10,0.018265,New Brunswick,221584829949237
11,0.009132,Prince Edward Island,221584829949237
0,0.098663,Alberta,223519463148765
1,0.159308,British Columbia,223519463148765
2,0.038215,Manitoba,223519463148765
3,0.042092,New Brunswick,223519463148765
4,0.028444,Newfoundland and Labrador,223519463148765
5,0.055997,Nova Scotia,223519463148765
6,0.418407,Ontario,223519463148765
7,0.00813,Prince Edward Island,223519463148765
8,0.109206,Quebec,223519463148765
9,0.032321,Saskatchewan,223519463148765
